"slug","date","support","langue","type_bibtex","orcid","hal","titre_normalise","titre_site","derivation","url"
"le-monde-centrales-nucleaires-canicule-debits","2026-08-13","Le Monde","fr","misc","oui","non","Centrales nucléaires à l'arrêt : le scénario combinant canicule durable, eau trop chaude et baisse des débits met à mal le parc français","Mon article dans Le Monde : « Centrales nucléaires à l'arrêt : le scénario combinant canicule durable, eau trop chaude et baisse des débits met à mal le parc français »","prefix","https://www.lemonde.fr/idees/article/2026/08/13/centrales-nucleaires-a-l-arret-le-scenario-combinant-canicule-durable-eau-trop-chaude-et-baisse-des-debits-met-a-mal-le-parc-francais_6745802_3232.html"
"lyon-mag-enquete-climatisation-chaleur","2026-08-09","Lyon Mag","fr","misc","oui","non","La clim est une machine, son accès est une politique","La clim est une machine, son accès est une politique","verbatim","https://www.lyonmag.com/article/153513/la-clim-est-une-machine-son-acces-est-une-politique"
"taipei-times-cycle-combustible-nucleaire-taiwan","2026-08-04","Taipei Times","en","misc","oui","non","Taiwan's nuclear restart: what the domestic debate does not decide","Taiwan's nuclear restart: what the domestic debate does not decide","verbatim","https://www.taipeitimes.com/News/feat/archives/2026/08/04/2003861891"
"lyon-mag-en-chantier-maintenance","2026-08-03","Lyon Mag","fr","misc","oui","non","En chantier : nous râlons contre ce qui empêche la ville de tomber en panne","En chantier : nous râlons contre ce qui empêche la ville de tomber en panne","verbatim","https://www.lyonmag.com/article/153382/en-chantier-nous-ralons-contre-ce-qui-empeche-la-ville-de-tomber-en-panne"
"african-arguments-cameroun-electricite","2026-08-02","African Arguments","en","misc","oui","non","Cameroon Has the Power. It Cannot Deliver It.","Cameroon Has the Power. It Cannot Deliver It.","verbatim","https://africanarguments.org/2026/08/cameroon-has-the-power-it-cannot-deliver-it/"
"letemps-souverainete-electrique-taiwan","2026-07-28","Le Temps","fr","misc","oui","non","Taïwan ou le retour de la souveraineté électrique","Ma tribune dans Le Temps : Taïwan ou le retour de la souveraineté électrique","prefix","https://www.letemps.ch/opinions/taiwan-ou-le-retour-de-la-souverainete-electrique"
"lyon-mag-climatiseur-platane","2026-07-28","Lyon Mag","fr","misc","oui","non","Le climatiseur et le platane","Le climatiseur et le platane","verbatim","https://www.lyonmag.com/article/153266/le-climatiseur-et-le-platane"
"taipei-times-kinmen-electricite-chine","2026-07-26","Taipei Times","en","misc","oui","non","Kinmen and the law that says no","Kinmen and the law that says no","verbatim","https://www.taipeitimes.com/News/editorials/archives/2026/07/26/2003861379"
"camerounactuel-electricite-nationalisation-socadel","2026-07-18","Cameroun Actuel","fr","misc","oui","non","Électricité au Cameroun, trois chantiers pour transformer la nationalisation en réussite durable","Ma tribune dans Cameroun Actuel : Électricité au Cameroun, trois chantiers pour transformer la nationalisation en réussite durable","prefix","https://camerounactuel.com/electricite-au-cameroun-trois-chantiers-pour-transformer-la-nationalisation-en-reussite-durable-tribune/"
"revue-conflits-loi-unite-ethnique","2026-07-16","Revue Conflits","fr","misc","oui","non","La loi chinoise sur l'unité ethnique — quand Pékin légifère pour le monde entier","Mon article dans Revue Conflits : La loi chinoise sur l'unité ethnique — quand Pékin légifère pour le monde entier","prefix","https://www.revueconflits.com/la-loi-chinoise-sur-lunite-ethnique-quand-pekin-legifere-pour-le-monde-entier/"
"revue-conflits-chine-communiste","2026-07-04","Revue Conflits","fr","misc","oui","non","La Chine est-elle communiste ?","Mon article dans Revue Conflits : La Chine est-elle communiste ?","prefix","https://www.revueconflits.com/la-chine-est-elle-communiste-autopsie-dun-marxisme-sans-proletariat/"
"terra-nova-energie-justice-sociale-renovation","2026-06-25","Terra Nova · La Grande Conversation","fr","techreport","oui","oui","Énergie et justice sociale : permettre de rénover","Énergie et justice sociale : permettre de rénover","verbatim","https://www.lagrandeconversation.com/ecologie/energie-et-justice-sociale-permettre-de-renover/"
"taipei-times-bouee-strategie-energetique-taiwan","2026-06-25","Taipei Times","en","misc","oui","non","An energy lifeline is not a strategy","An energy lifeline is not a strategy","verbatim","https://www.taipeitimes.com/News/editorials/archives/2026/06/25/2003859684"
"liberty-times-electricite-geothermie-eolien","2026-06-24","自由時報 Liberty Times","zh","misc","oui","non","Taïwan a besoin de plus d'électricité : la réponse est sous terre et au large","Taïwan a besoin de plus d'électricité : la réponse est sous terre et au large — 自由時報 (Liberty Times)","suffix","https://talk.ltn.com.tw/article/breakingnews/5479391"
"lyonmag-canicule-ara-basculer-usages","2026-06-23","Lyon Mag","fr","misc","oui","non","Canicule : en Auvergne-Rhône-Alpes, le vrai défi n'est plus de produire propre, mais de basculer les usages","Canicule : en Auvergne-Rhône-Alpes, le vrai défi n'est plus de produire propre, mais de basculer les usages — Lyon Mag","suffix","https://www.lyonmag.com/article/152699/canicule-en-auvergne-rhone-alpes-le-vrai-defi-n-est-plus-de-produire-propre-mais-de-basculer-les-usages"
"udn-autoproduction-renouvelables-taiwan","2026-06-21","聯合報 United Daily News","zh","misc","oui","non","Les grands consommateurs qui s'autoapprovisionnent doivent recourir aux renouvelables","Les grands consommateurs qui s'autoapprovisionnent doivent recourir aux renouvelables — 聯合報 (United Daily News)","suffix","https://udn.com/news/story/7339/9578535"
"samoa-observer-renouvelables-cyclone","2026-06-20","Samoa Observer","en","misc","oui","non","For Samoa, renewables are the right bet — if they are built to survive a cyclone","For Samoa, renewables are the right bet — if they are built to survive a cyclone — Samoa Observer","suffix","https://www.samoaobserver.ws/category/op_ed/120503"
"coupe-du-monde-2026-mondial-energie","2026-06-17","Revue Conflits","fr","misc","oui","non","Coupe du monde 2026, un Mondial sous le signe de l'énergie","Mon article dans Revue Conflits : Coupe du monde 2026, un Mondial sous le signe de l'énergie","prefix","https://www.revueconflits.com/coupe-du-monde-2026-un-mondial-sous-le-signe-de-lenergie/"
"taipei-times-geothermie-institutions-taiwan","2026-06-16","Taipei Times","en","misc","oui","non","Taiwan's geothermal problem is above ground","Part two — Taiwan's geothermal problem is above ground","override","https://www.taipeitimes.com/News/feat/archives/2026/06/16/2003859166"
"jean-jaures-electricite-afrique-centrale","2026-06-11","Fondation Jean-Jaurès","fr","techreport","oui","oui","Intégrer l'électricité en Afrique centrale — la métropole comme arbitre absent","Ma note pour la Fondation Jean-Jaurès : Intégrer l'électricité en Afrique centrale — la métropole comme arbitre absent","prefix","https://www.jean-jaures.org/publication/integrer-lelectricite-en-afrique-centrale-kinshasa-douala-brazzaville-la-metropole-comme-arbitre-absent/"
"gti-paradiplomatie-taiwan","2026-06-10","Global Taiwan Institute","en","techreport","oui","oui","Taiwan's paradiplomacy, performing sovereignty","My article at the Global Taiwan Institute: Taiwan's paradiplomacy, performing sovereignty","prefix","https://globaltaiwan.org/2026/06/taiwans-paradiplomacy/"
"udn-gouvernance-energetique-taiwan","2026-06-06","聯合報 United Daily News","zh","misc","oui","non","L'énergie ne devrait pas changer de camp à chaque alternance","L'énergie ne devrait pas changer de camp à chaque alternance — 聯合報 (United Daily News)","suffix","https://udn.com/news/story/7339/9549010"
"lyon-mag-energie-froid","2026-05-29","Lyon Mag","fr","misc","oui","non","Énergie — à Lyon, on fabrique aussi du froid","Mon article dans Lyon Mag : Énergie — à Lyon, on fabrique aussi du froid","prefix","https://www.lyonmag.com/article/152258/energie-a-lyon-on-fabrique-aussi-du-froid"
"taipei-times-transition-energetique-taiwan","2026-05-27","Taipei Times","en","misc","oui","non","Why Taiwan's energy transition keeps falling short","Featured in Features — Why Taiwan's energy transition keeps falling short","override","https://www.taipeitimes.com/News/feat/archives/2026/05/27/2003858036"
"new-bloom-decarbonation-justice-territoriale-france-taiwan","2026-05-24","New Bloom Magazine","en","misc","oui","non","Territorial Justice and the Energy Transition","Territorial Justice and the Energy Transition — New Bloom Magazine","suffix","https://newbloommag.net/2026/05/24/decarbonizing-france-tw/"
"taipei-times-paradiplomatie-villes-taiwan","2026-05-20","Taipei Times","en","misc","oui","non","City paradiplomacy, Taiwan's Plan C","My op-ed in the Taipei Times: city paradiplomacy, Taiwan's Plan C","prefix+capitale","https://www.taipeitimes.com/News/editorials/archives/2026/05/20/2003857627"
"slate-petrole-emirats-opep","2026-05-16","Slate.fr","fr","misc","oui","non","La vraie raison du départ des Émirats de l'OPEP","Mon article sur Slate.fr : la vraie raison du départ des Émirats de l'OPEP","prefix+capitale","https://www.slate.fr/monde/petrole-depart-emirats-arabes-unis-opep-vraie-raison-strategie-petroliere-guerre-iran-detroit-ormuz"
"commonwealth-prix-electricite-taiwan","2026-05-15","CommonWealth Magazine","en","misc","oui","non","Why Electricity Prices That Are Too Low Could Hurt Taiwan","Why Electricity Prices That Are Too Low Could Hurt Taiwan — CommonWealth Magazine","suffix","https://english.cw.com.tw/article/article.action?id=4772"
"telos-emirats-opep-sortie","2026-05-12","Telos","fr","techreport","oui","oui","La sortie des Émirats de l'OPEP n'est pas celle qu'on croit","Mon article sur Telos : la sortie des Émirats de l'OPEP n'est pas celle qu'on croit","prefix+capitale","https://www.telos-eu.com/fr/energie-la-sortie-des-emirats-arabes-unis-de-lopep-nest-pas-celle-quon-croit.html"
"taipei-times-diplomatie-parlementaire-taiwan","2026-05-03","Taipei Times","en","misc","oui","non","Taiwan leans on diplomatic plan B","Taiwan leans on diplomatic plan B — Taipei Times","suffix","https://www.taipeitimes.com/News/editorials/archives/2026/05/03/2003856651"
"jean-jaures-kmt-bascule-pekin","2026-04-29","Fondation Jean-Jaurès","fr","techreport","oui","oui","Quand le principal parti d'opposition taïwanais bascule vers Pékin","Ma note pour la Fondation Jean-Jaurès : quand le principal parti d'opposition taïwanais bascule vers Pékin","prefix+capitale","https://www.jean-jaures.org/publication/taiwan-quand-le-principal-parti-dopposition-bascule-vers-pekin/"
"letemps-coercition-chinoise-ciel-taiwan","2026-04-29","Le Temps","fr","misc","oui","non","Coercition chinoise dans le ciel de Taïwan","Ma tribune dans Le Temps : Coercition chinoise dans le ciel de Taïwan","prefix","https://www.letemps.ch/opinions/coercition-chinoise-dans-le-ciel-de-taiwan"
"communistes-asie-revue-conflits","2026-04-27","Revue Conflits","fr","misc","oui","non","Communistes d'Asie, l'Orient est-il toujours rouge ?","Mon article dans Revue Conflits : Communistes d'Asie, l'Orient est-il toujours rouge ?","prefix","https://www.revueconflits.com/communistes-dasie-lorient-est-il-toujours-rouge/"
"revue-conflits-pekin-president-taiwanais","2026-04-23","Revue Conflits","fr","misc","oui","non","Comment Pékin a cloué au sol le président taïwanais","Mon article dans Revue Conflits : Comment Pékin a cloué au sol le président taïwanais","prefix","https://www.revueconflits.com/comment-pekin-a-cloue-au-sol-le-president-taiwanais/"
"ormuz-terra-nova-tensions-energetiques","2026-04-21","Terra Nova · La Grande Conversation","fr","techreport","oui","oui","Ormuz révèle nos tensions énergétiques, en Asie comme en Europe","Ma tribune sur La Grande Conversation : Ormuz révèle nos tensions énergétiques, en Asie comme en Europe","prefix","https://www.lagrandeconversation.com/monde/ormuz-revele-nos-tensions-energetiques-en-asie-comme-en-europe/"
"taipei-times-geothermie-taiwan","2026-04-17","Taipei Times","en","misc","oui","non","The energy beneath Taiwan's feet","The energy beneath Taiwan's feet — Taipei Times","suffix","https://www.taipeitimes.com/News/feat/archives/2026/04/17/2003855742"
"taiwan-energy-challenges-nottingham","2026-04-10","Taiwan Insight (Univ. of Nottingham)","en","techreport","oui","oui","Taiwan's Energy Challenges","Taiwan's Energy Challenges — Taiwan Insight / University of Nottingham","suffix","https://taiwaninsight.org/2026/04/10/taiwans-energy-challenges-amid-shifting-geopolitical-realities-national-security-energy-transition-and-technological-ambitions-of-an-insular-democracy-under-pressure/"
"kmt-rhetorique-imperialiste-taiwan","2026-04-10","Asia Times","en","misc","oui","non","The KMT's 'imperialist' rhetoric shifts Taiwan's democratic fault line","The KMT's 'imperialist' rhetoric shifts Taiwan's democratic fault line","verbatim","https://asiatimes.com/2026/04/kmts-imperialist-rhetoric-shifts-taiwans-democratic-fault-line/"
"tribune-taipei-times","2026-03-25","Taipei Times","en","misc","oui","non","Taiwan, AI and the resource wall","My op-ed in the Taipei Times: Taiwan, AI and the resource wall","prefix","https://www.taipeitimes.com/News/editorials/archives/2026/03/25/2003854412"
"revue-conflits-taiwan-etau-energetique","2026-03-09","Revue Conflits","fr","misc","oui","non","Taïwan face à l'étau énergétique","Mon article dans Revue Conflits : Taïwan face à l'étau énergétique","prefix","https://www.revueconflits.com/taiwan-face-a-letau-energetique-2/"
"revue-energie-685-fenetre-de-rente","2026-01-01","La Revue de l'Énergie","fr","article","oui","oui","La fenêtre de rente : la sortie émirienne de l'OPEP+ comme aboutissement","La fenêtre de rente : la sortie émirienne de l'OPEP+ comme aboutissement","journal-articles.json","https://stm.cairn.info/revue-revue-de-l-energie-2026-4?lang=fr"
"cahiers-de-conflits-18-communistes-asie","2026-01-01","Cahiers de Conflits","fr","article","oui","oui","Communistes d'Asie : l'Orient est-il toujours rouge ?","Communistes d'Asie : l'Orient est-il toujours rouge ?","journal-articles.json",""
"lyon-mag-trains-de-nuit","2023-08-04","Lyon Mag","fr","misc","oui","non","Lyon mérite des trains de nuit !","Mon article dans Lyon Mag : Lyon mérite des trains de nuit !","prefix","https://www.lyonmag.com/article/131464/lyon-merite-des-trains-de-nuit/50"
"lyon-mag-madrid-alger-rhone","2023-07-25","Lyon Mag","fr","misc","oui","non","Madrid ou Alger sur Rhône, une réalité plus proche qu'on ne le pense","Mon article dans Lyon Mag : Madrid ou Alger sur Rhône, une réalité plus proche qu'on ne le pense","prefix","https://www.lyonmag.com/article/131318/madrid-ou-alger-sur-rhone-une-realite-plus-proche-qu-on-ne-le-pense"
"lyon-mag-marche-climat","2018-09-07","Lyon Mag","fr","misc","oui","non","Marche pour le Climat à Lyon — n'oubliez pas la suite !","Mon article dans Lyon Mag : Marche pour le Climat à Lyon — n'oubliez pas la suite !","prefix","https://www.lyonmag.com/article/96945/marche-pour-le-climat-a-lyon-n-oubliez-pas-la-suite/250"
"lyon-mag-photos-neige-facebook","2017-12-18","Lyon Mag","fr","misc","oui","non","Demain sera-t-il possible de poster des photos de neige à Lyon sur Facebook ?","Mon article dans Lyon Mag : Demain sera-t-il possible de poster des photos de neige à Lyon sur Facebook ?","prefix","https://www.lyonmag.com/article/92722/demain-sera-t-il-possible-de-poster-des-photos-de-neige-a-lyon-sur-facebook/50"
"huffpost-taiwan-changer","2016-02-18","Le HuffPost","fr","misc","oui","non","Pourquoi Taïwan va changer","Mon article dans Le HuffPost : Pourquoi Taïwan va changer","prefix","https://www.huffingtonpost.fr/actualites/article/pourquoi-taiwan-va-changer_70339.html"
"rue89-lyon-loi-renseignement","2015-05-04","Rue89 Lyon","fr","misc","oui","non","Projet de loi renseignement — si j'étais député…","Mon article dans Rue89 Lyon : Projet de loi renseignement — si j'étais député…","prefix","https://www.rue89lyon.fr/2015/05/04/loi-renseignement-si-jetais-depute/"
"marianne-silicon-valley","2014-12-12","Marianne","fr","misc","oui","non","Oui, on peut critiquer la Silicon Valley !","Ma tribune dans Marianne : Oui, on peut critiquer la Silicon Valley !","prefix","https://www.marianne.net/agora/tribunes-libres/oui-peut-critiquer-la-silicon-valley"
"huffpost-kobane","2014-10-07","Le HuffPost","fr","misc","oui","non","Pour qu'il n'y ait plus d'autre Kobané","Mon article dans Le HuffPost : Pour qu'il n'y ait plus d'autre Kobané","prefix","https://www.huffingtonpost.fr/actualites/article/pour-qu-il-n-y-ait-plus-d-autre-kobane_44462.html"
"rue89-lyon-ministere-numerique","2014-08-25","Rue89 Lyon","fr","misc","oui","non","Remaniement — et si on en profitait pour créer un grand ministère du Numérique ?","Mon article dans Rue89 Lyon : Remaniement — et si on en profitait pour créer un grand ministère du Numérique ?","prefix","https://www.rue89lyon.fr/2014/08/25/remaniement-et-si-on-en-profitait-creer-grand-ministere-du-numerique/"
"liberation-chretiens-orient","2014-07-30","Libération","fr","misc","oui","non","Persécutés, les chrétiens d'Orient sont-ils amenés à disparaître ?","Mon article dans Libération : Persécutés, les chrétiens d'Orient sont-ils amenés à disparaître ?","prefix","https://www.liberation.fr/planete/2014/07/30/persecutes-les-chretiens-d-orient-sont-ils-amenes-a-disparaitre_1072963/"
"huffpost-logiciel-libre-redressement","2014-01-31","Le HuffPost","fr","misc","oui","non","Le logiciel libre, un instrument du redressement productif national","Mon article dans Le HuffPost : Le logiciel libre, un instrument du redressement productif national","prefix","https://www.huffingtonpost.fr/actualites/article/le-logiciel-libre-un-instrument-du-redressement-productif-national_31660.html"
"huffpost-journee-toilettes","2013-07-29","Le HuffPost","fr","misc","oui","non","La journée mondiale des toilettes est un sujet sérieux","Mon article dans Le HuffPost : La journée mondiale des toilettes est un sujet sérieux","prefix","https://www.huffingtonpost.fr/life/article/la-journee-mondiale-des-toilettes-est-un-sujet-serieux_22693.html"
"liberation-grand-paris-desert-francais","2013-02-05","Libération","fr","misc","oui","non","Le Grand Paris et le «désert français»","Mon article dans Libération : Le Grand Paris et le «désert français»","prefix","https://www.liberation.fr/france/2013/02/05/le-grand-paris-et-le-desert-francais_879569/"
"le-monde-entrepreneurs","2012-10-18","Le Monde","fr","misc","oui","non","Entrepreneurs, on vous aime !","Mon article dans Le Monde : Entrepreneurs, on vous aime !","prefix","https://www.lemonde.fr/idees/article/2012/10/18/entrepreneurs-on-vous-aime_1777216_3232.html"
